latitude,longitude,calculated_host_listings_count,room_type_factor,price
40.72338,-73.98239,2.0,0.0,80
40.68075,-73.98181,1.0,1.0,240
40.74877,-73.9994,1.0,1.0,300
40.68129,-73.74745,1.0,1.0,85
40.683,-73.92346,2.0,1.0,149
40.63425,-73.94862,2.0,2.0,45
40.68804,-73.91493,10.0,0.0,75
40.66675,-73.97571,1.0,1.0,200
40.79913,-73.95932,1.0,0.0,97
40.81508,-73.95935,1.0,0.0,49
40.82484,-73.93913,2.0,0.0,55
40.74936,-73.88698,1.0,1.0,90
40.74244,-74.00274,1.0,1.0,300
40.706,-73.91418,1.0,1.0,90
40.714,-73.96253,3.0,0.0,71
40.82201,-73.95444,2.0,0.0,75
40.68361,-73.93883,1.0,0.0,76
40.67259,-73.9525,1.0,1.0,100
40.71976,-74.00571,1.0,1.0,285
40.66235,-73.94619,1.0,1.0,165
40.85867,-73.92844,1.0,1.0,150
40.72608,-74.00031,3.0,0.0,95
40.75034,-73.99059,1.0,1.0,250
40.67775,-74.00131,1.0,1.0,79
40.73749,-73.95292,28.0,0.0,179
40.74688,-73.97342,65.0,1.0,180
40.72389,-73.98934,1.0,1.0,200
40.67316,-73.95397,1.0,1.0,85
40.85147,-73.93618,1.0,0.0,55
40.73299,-73.99812,1.0,0.0,135
40.86414,-73.92537,1.0,0.0,50
40.6783,-73.97559,1.0,0.0,69
40.72566,-73.94823,1.0,0.0,50
40.6851,-73.95655,1.0,1.0,215
40.69114,-73.86459,8.0,1.0,48
40.8225,-73.94493,1.0,1.0,200
40.69399,-73.97153,1.0,0.0,75
40.8049,-73.96315,1.0,1.0,60
40.63837,-73.91149,1.0,1.0,167
40.70505,-73.91848,1.0,1.0,140
40.66153,-73.98554,1.0,1.0,325
40.74533,-73.86076,1.0,0.0,49
40.8267,-73.85704,2.0,1.0,100
40.73307,-73.81868,1.0,1.0,150
40.64264,-73.97855,1.0,0.0,67
40.78694,-73.97218,3.0,1.0,100
40.75403,-73.90076,5.0,1.0,98
40.70619,-74.01065,327.0,1.0,214
40.73232,-73.95664,6.0,1.0,70
40.78113,-73.95452,1.0,1.0,175
40.67124,-73.98625,1.0,1.0,218
40.75495,-73.87774,1.0,1.0,140
40.80692,-73.96434,1.0,1.0,120
40.75844,-73.93154,2.0,0.0,100
40.68281,-73.89509,2.0,1.0,149
40.75006,-73.97007,10.0,1.0,150
40.77299,-73.95745,29.0,1.0,119
40.69231,-73.93781,2.0,1.0,220
40.80176,-73.95663,2.0,0.0,100
40.71769,-73.9544,1.0,0.0,115
40.67163,-73.98584,1.0,1.0,140
40.76868,-73.78871,3.0,0.0,39
40.77438,-73.98717,25.0,1.0,300
40.57717,-73.9608,3.0,0.0,95
40.74298,-73.95804,1.0,1.0,290
40.70573,-73.92887,1.0,1.0,195
40.85638,-73.92921,1.0,1.0,80
40.77707,-73.95652,5.0,0.0,71
40.65986,-73.94277,1.0,0.0,89
40.72317,-73.99084,1.0,0.0,80
40.77023,-73.95212,1.0,1.0,100
40.61901,-74.00045,1.0,1.0,120
40.72492,-73.97914,1.0,0.0,80
40.76624,-73.91475,1.0,1.0,89
40.73094,-73.90131,1.0,0.0,59
40.82337,-73.94529,1.0,1.0,155
40.74747,-73.98061,87.0,1.0,189
40.85457,-73.92778,1.0,0.0,66
40.66123,-73.93428,1.0,1.0,85
40.84245,-73.93918,34.0,1.0,140
40.69091,-73.91402,2.0,0.0,49
40.77199,-73.93159,2.0,0.0,55
40.75295,-73.93228,1.0,0.0,65
40.67158,-73.96007,1.0,1.0,46
40.76844,-73.98333,1.0,0.0,10
40.73272,-73.91826,3.0,2.0,30
40.82776,-73.94701,1.0,1.0,90
40.68634,-73.94414,1.0,0.0,52
40.66294,-73.73292,1.0,1.0,300
40.6867,-73.94212,1.0,0.0,55
40.77329,-73.91183,1.0,1.0,74
40.76914,-73.92118,1.0,0.0,120
40.79466,-73.96623,1.0,1.0,141
40.58928,-73.79531,1.0,0.0,150
40.77248,-73.91665,1.0,1.0,140
40.68589,-73.95516,2.0,1.0,142
40.69406,-73.90068,1.0,0.0,31
40.74458,-73.94102,2.0,0.0,100
40.63672,-73.88814,1.0,1.0,81
40.71715,-73.94152,3.0,0.0,89
40.68611,-73.98336,1.0,1.0,175
40.85031,-73.90102,3.0,1.0,105
40.62276,-73.93289,1.0,1.0,65
40.67787,-73.98169,1.0,1.0,129
40.70949,-73.79304,1.0,1.0,90
40.70859,-73.94297,1.0,0.0,63
40.70195,-73.98309,1.0,0.0,85
40.80299,-73.95443,1.0,1.0,181
40.79966,-73.9539,1.0,1.0,325
40.80114,-73.95696,4.0,0.0,90
40.75558,-73.81019,7.0,1.0,298
40.76579,-73.97701,1.0,1.0,300
40.72158,-73.94578,1.0,1.0,175
40.59362,-73.95659,1.0,1.0,110
40.68902,-73.9156,5.0,1.0,85
40.66701,-73.98703,3.0,0.0,78
40.73288,-73.86438,1.0,1.0,108
40.68795,-73.97332,1.0,1.0,123
40.68066,-73.93281,1.0,1.0,200
40.67249,-73.8782,2.0,0.0,52
40.80434,-73.95515,1.0,1.0,165
40.78397,-73.95041,1.0,1.0,139
40.69814,-73.92805,3.0,0.0,70
40.68749,-73.99899,1.0,1.0,100
40.86912,-73.91988,1.0,0.0,70
40.86569,-73.92865,1.0,1.0,120
40.72394,-73.99583,1.0,1.0,240
40.77845,-73.98198,1.0,1.0,315
40.71063,-73.99526,1.0,0.0,90
40.66815,-73.92169,2.0,0.0,65
40.76289,-73.98808,1.0,1.0,145
40.76028,-73.98846,2.0,0.0,92
40.73213,-73.99957,1.0,1.0,130
40.78032,-73.97812,1.0,0.0,55
40.77641,-73.94616,1.0,1.0,89
40.6735,-73.95322,1.0,1.0,90
40.68372,-73.95551,1.0,1.0,45
40.75166,-73.88088,2.0,0.0,68
40.63348,-73.94737,8.0,0.0,95
40.71587,-73.9989,1.0,0.0,100
40.72791,-73.99997,3.0,0.0,79
40.7192,-73.94354,1.0,0.0,71
40.70956,-74.01605,1.0,1.0,165
40.68402,-73.95573,2.0,1.0,122
40.69869,-73.749,3.0,1.0,250
40.63911,-74.08376,1.0,1.0,48
40.82739,-73.88176,2.0,1.0,50
40.78617,-73.94421,9.0,0.0,60
40.76567,-73.98308,121.0,1.0,239
40.5888,-73.97278,2.0,0.0,70
40.79908,-73.96465,1.0,0.0,50
40.67589,-73.9287,1.0,0.0,75
40.64445,-73.94943,1.0,1.0,33
40.73949,-73.99801,1.0,1.0,220
40.83769,-73.94207,1.0,0.0,40
40.72796,-73.99761,1.0,0.0,150
40.7529,-73.97094,1.0,1.0,175
40.85247,-73.86418,1.0,1.0,60
40.56028,-74.10678,1.0,0.0,46
40.66623,-73.92874,2.0,1.0,100
40.71752,-73.99077,1.0,1.0,110
40.85476,-73.93094,5.0,0.0,196
40.73243,-74.00333,1.0,0.0,160
40.69112,-73.77761,1.0,0.0,48
40.60319,-73.99591,1.0,1.0,150
40.7996,-73.94216,6.0,0.0,55
40.68537,-73.8775,2.0,1.0,75
40.71554,-73.96225,1.0,1.0,129
40.71616,-73.95552,1.0,0.0,130
40.78297,-73.98141,8.0,1.0,160
40.64524,-74.08326,2.0,1.0,89
40.68773,-73.95631,2.0,1.0,80
40.6791,-73.97369,1.0,1.0,150
40.71659,-73.9458,1.0,0.0,90
40.74743,-73.97945,87.0,1.0,245
40.80147,-73.94432,1.0,1.0,275
40.7232,-73.98223,2.0,0.0,90
40.80991,-73.94597,1.0,0.0,149
40.82101,-73.90919,1.0,1.0,75
40.6882,-73.98999,1.0,1.0,90
40.72413,-73.97277,1.0,0.0,75
40.72402,-73.98771,1.0,1.0,179
40.71821,-73.99506,1.0,1.0,200
40.76547,-73.97952,1.0,1.0,250
40.71553,-73.96332,1.0,0.0,90
40.85711,-73.93004,2.0,0.0,75
40.68881,-73.92017,1.0,0.0,75
40.71303,-73.98645,1.0,0.0,52
40.68696,-73.91382,1.0,1.0,75
40.72096,-73.8539,2.0,1.0,99
40.73037,-73.98158,4.0,1.0,197
40.80118,-73.96642,1.0,1.0,250
40.77672,-73.95559,1.0,0.0,120
40.77029,-73.9197,1.0,0.0,98
40.68518,-73.99709,1.0,1.0,195
40.76103,-73.99001,2.0,1.0,265
40.73338,-74.00314,1.0,1.0,180
40.81236,-73.95204,11.0,0.0,69
40.68225,-73.99116,1.0,0.0,50
40.76939,-73.9504,1.0,1.0,150
40.69812,-73.93151,1.0,0.0,48
40.69059,-73.91805,1.0,0.0,42
40.6859,-73.96109,1.0,1.0,120
40.74183,-73.99997,1.0,1.0,330
40.7179,-73.96047,1.0,1.0,105
40.68983,-73.92775,1.0,0.0,75
40.75157,-73.97134,1.0,0.0,250
40.70921,-73.95178,1.0,0.0,64
40.74239,-73.92213,1.0,0.0,65
40.72245,-73.98337,1.0,1.0,260
40.682,-73.95681,3.0,1.0,140
40.62764,-73.90086,3.0,0.0,250
40.72728,-73.98256,1.0,1.0,225
40.65322,-73.73366,5.0,0.0,50
40.63953,-73.97214,1.0,0.0,50
40.7601,-73.96356,1.0,1.0,100
40.67512,-73.96146,1.0,0.0,50
40.65747,-73.95798,1.0,1.0,250
40.75984,-73.99214,1.0,0.0,49
40.76043,-73.91465,1.0,0.0,96
40.69563,-73.98193,1.0,0.0,110
40.66261,-73.94399,2.0,0.0,55
40.74836,-73.93833,1.0,0.0,95
40.71662,-74.00352,52.0,1.0,130
40.83625,-73.93915,1.0,1.0,140
40.67027,-73.97874,1.0,1.0,226
40.74591,-73.97843,1.0,1.0,200
40.76876,-73.87245,6.0,0.0,65
40.70578,-73.94324,1.0,0.0,69
40.82313,-73.94982,2.0,1.0,185
40.62703,-74.01952,12.0,2.0,22
40.61625,-73.9916,1.0,0.0,50
40.73247,-73.98297,1.0,1.0,196
40.66443,-73.98792,4.0,0.0,69
40.71367,-73.95673,1.0,0.0,89
40.71214,-73.96866,1.0,1.0,170
40.7122,-73.96619,1.0,1.0,225
40.72528,-73.74738,2.0,0.0,75
40.68358,-73.90884,5.0,0.0,36
40.68064,-73.94856,1.0,1.0,125
40.64007,-73.97067,1.0,0.0,45
40.76003,-73.96969,1.0,1.0,180
40.7594,-73.99748,3.0,0.0,180
40.82939,-73.86514,3.0,0.0,28
40.76115,-73.98224,1.0,1.0,200
40.73836,-73.98035,1.0,1.0,167
40.71041,-73.96327,5.0,0.0,58
40.75615,-73.94121,3.0,0.0,101
40.6588,-73.99097,1.0,0.0,50
40.71165,-73.94708,1.0,1.0,169
40.74122,-73.88641,1.0,0.0,170
40.75577,-73.99687,47.0,0.0,120
40.7717,-73.98759,1.0,0.0,140
40.59736,-73.80029,3.0,0.0,35
40.72923,-73.98735,1.0,1.0,175
40.69252,-73.80272,4.0,0.0,85
40.66954,-73.89539,13.0,0.0,35
40.80045,-73.95166,2.0,0.0,100
40.70884,-73.94354,1.0,0.0,50
40.6998,-73.91913,1.0,1.0,165
40.67821,-73.97484,1.0,1.0,200
40.7409,-73.95506,1.0,1.0,225
40.71695,-73.93847,2.0,1.0,110
40.81356,-73.94807,1.0,1.0,145
40.72938,-73.99955,1.0,1.0,249
40.76376,-73.99161,1.0,0.0,140
40.7201,-73.96373,1.0,1.0,150
40.68714,-73.95775,1.0,1.0,144
40.74105,-74.00401,2.0,1.0,195
40.83428,-73.94446,1.0,0.0,60
40.70202,-73.94352,1.0,0.0,75
40.76381,-73.9919,1.0,0.0,120
40.71875,-73.96376,6.0,1.0,210
40.77268,-73.98933,3.0,0.0,135
40.72984,-73.98588,1.0,1.0,125
40.63088,-73.96113,1.0,1.0,102
40.699,-73.92849,2.0,0.0,46
40.74793,-73.81782,1.0,0.0,50
40.72528,-74.00317,1.0,1.0,200
40.77655,-73.94651,1.0,0.0,55
40.74565,-73.99183,87.0,1.0,205
40.70011,-73.92241,2.0,0.0,100
40.78321,-73.95646,91.0,1.0,200
40.79828,-73.97231,1.0,1.0,150
40.72934,-73.98603,1.0,1.0,135
40.76084,-73.96908,2.0,1.0,300
40.8032,-73.96495,1.0,0.0,100
40.78419,-73.94851,1.0,1.0,210
40.72152,-73.97761,1.0,1.0,125
40.66046,-73.95189,1.0,0.0,50
40.77065,-73.95163,1.0,1.0,150
40.71769,-73.96339,4.0,1.0,300
40.72157,-73.98489,1.0,1.0,130
40.67887,-74.00582,1.0,1.0,100
